platform,metric,local_hour,density,n_phases,kappa,min_phases
BR1,PC1,0.0,0.04510666448033851,98,4.0,20
BR1,PC1,0.1,0.04522764309358664,98,4.0,20
BR1,PC1,0.2,0.0453534479675051,98,4.0,20
BR1,PC1,0.30000000000000004,0.045484158560588656,98,4.0,20
BR1,PC1,0.4,0.04561991053743295,98,4.0,20
BR1,PC1,0.5,0.04576089060205857,98,4.0,20
BR1,PC1,0.6000000000000001,0.04590732863975968,98,4.0,20
BR1,PC1,0.7000000000000001,0.04605948721177822,98,4.0,20
BR1,PC1,0.8,0.04621764853222606,98,4.0,20
BR1,PC1,0.9,0.04638209914381521,98,4.0,20
BR1,PC1,1.0,0.04655311259522437,98,4.0,20
BR1,PC1,1.1,0.046730930505255903,98,4.0,20
BR1,PC1,1.2000000000000002,0.04691574247420188,98,4.0,20
BR1,PC1,1.3,0.047107665367972645,98,4.0,20
BR1,PC1,1.4000000000000001,0.04730672255267333,98,4.0,20
BR1,PC1,1.5,0.04751282369387396,98,4.0,20
BR1,PC1,1.6,0.04772574575367076,98,4.0,20
BR1,PC1,1.7000000000000002,0.047945115818176114,98,4.0,20
BR1,PC1,1.8,0.04817039636731679,98,4.0,20
BR1,PC1,1.9000000000000001,0.04840087355747701,98,4.0,20
BR1,PC1,2.0,0.04863564902603029,98,4.0,20
BR1,PC1,2.1,0.048873635646354316,98,4.0,20
BR1,PC1,2.2,0.04911355756444175,98,4.0,20
BR1,PC1,2.3000000000000003,0.049353954736326075,98,4.0,20
BR1,PC1,2.4000000000000004,0.04959319206248374,98,4.0,20
BR1,PC1,2.5,0.0498294730849203,98,4.0,20
BR1,PC1,2.6,0.05006085807898354,98,4.0,20
BR1,PC1,2.7,0.050285286239510264,98,4.0,20
BR1,PC1,2.8000000000000003,0.050500601534261245,98,4.0,20
BR1,PC1,2.9000000000000004,0.05070458168122374,98,4.0,20
BR1,PC1,3.0,0.050894969604526316,98,4.0,20
BR1,PC1,3.1,0.051069506640278955,98,4.0,20
BR1,PC1,3.2,0.05122596670192866,98,4.0,20
BR1,PC1,3.3000000000000003,0.05136219057730257,98,4.0,20
BR1,PC1,3.4000000000000004,0.051476119518170625,98,4.0,20
BR1,PC1,3.5,0.05156582729874493,98,4.0,20
BR1,PC1,3.6,0.051629549961910236,98,4.0,20
BR1,PC1,3.7,0.05166571254000523,98,4.0,20
BR1,PC1,3.8000000000000003,0.05167295212851588,98,4.0,20
BR1,PC1,3.9000000000000004,0.05165013680303103,98,4.0,20
BR1,PC1,4.0,0.05159637999834609,98,4.0,20
BR1,PC1,4.1000000000000005,0.0515110501090822,98,4.0,20
BR1,PC1,4.2,0.051393775218489736,98,4.0,20
BR1,PC1,4.3,0.05124444301077441,98,4.0,20
BR1,PC1,4.4,0.05106319606675947,98,4.0,20
BR1,PC1,4.5,0.050850422877546174,98,4.0,20
BR1,PC1,4.6000000000000005,0.050606745030972754,98,4.0,20
BR1,PC1,4.7,0.050333001126600205,98,4.0,20
BR1,PC1,4.800000000000001,0.05003022805294429,98,4.0,20
BR1,PC1,4.9,0.04969964031295471,98,4.0,20
BR1,PC1,5.0,0.049342608108614114,98,4.0,20
BR1,PC1,5.1000000000000005,0.04896063489246137,98,4.0,20
BR1,PC1,5.2,0.04855533506348765,98,4.0,20
BR1,PC1,5.300000000000001,0.0481284124290402,98,4.0,20
BR1,PC1,5.4,0.04768163997600685,98,4.0,20
BR1,PC1,5.5,0.04721684139751332,98,4.0,20
BR1,PC1,5.6000000000000005,0.04673587471029318,98,4.0,20
BR1,PC1,5.7,0.04624061817799366,98,4.0,20
BR1,PC1,5.800000000000001,0.045732958632486984,98,4.0,20
BR1,PC1,5.9,0.04521478216435289,98,4.0,20
BR1,PC1,6.0,0.04468796704046756,98,4.0,20
BR1,PC1,6.1000000000000005,0.0441543786060102,98,4.0,20
BR1,PC1,6.2,0.04361586584443395,98,4.0,20
BR1,PC1,6.300000000000001,0.043074259205423245,98,4.0,20
BR1,PC1,6.4,0.04253136926994047,98,4.0,20
BR1,PC1,6.5,0.04198898580439622,98,4.0,20
BR1,PC1,6.6000000000000005,0.041448876762858494,98,4.0,20
BR1,PC1,6.7,0.04091278682600489,98,4.0,20
BR1,PC1,6.800000000000001,0.04038243511611797,98,4.0,20
BR1,PC1,6.9,0.0398595117957932,98,4.0,20
BR1,PC1,7.0,0.03934567334036664,98,4.0,20
BR1,PC1,7.1000000000000005,0.038842536366012086,98,4.0,20
BR1,PC1,7.2,0.038351669992300746,98,4.0,20
BR1,PC1,7.300000000000001,0.03787458681495762,98,4.0,20
BR1,PC1,7.4,0.03741273265691615,98,4.0,20
BR1,PC1,7.5,0.03696747534925248,98,4.0,20
BR1,PC1,7.6000000000000005,0.0365400928644045,98,4.0,20
BR1,PC1,7.7,0.036131761179195476,98,4.0,20
BR1,PC1,7.800000000000001,0.03574354228236321,98,4.0,20
BR1,PC1,7.9,0.0353763727592261,98,4.0,20
BR1,PC1,8.0,0.03503105338441151,98,4.0,20
BR1,PC1,8.1,0.03470824013275657,98,4.0,20
BR1,PC1,8.200000000000001,0.03440843697993979,98,4.0,20
BR1,PC1,8.3,0.034131990810233014,98,4.0,20
BR1,PC1,8.4,0.033879088681706096,98,4.0,20
BR1,PC1,8.5,0.033649757622452744,98,4.0,20
BR1,PC1,8.6,0.03344386704840405,98,4.0,20
BR1,PC1,8.700000000000001,0.033261133807630454,98,4.0,20
BR1,PC1,8.8,0.03310112977122436,98,4.0,20
BR1,PC1,8.9,0.03296329181020695,98,4.0,20
BR1,PC1,9.0,0.032846933924374454,98,4.0,20
BR1,PC1,9.1,0.0327512612250938,98,4.0,20
BR1,PC1,9.200000000000001,0.03267538542174604,98,4.0,20
BR1,PC1,9.3,0.032618341422190514,98,4.0,20
BR1,PC1,9.4,0.0325791046320822,98,4.0,20
BR1,PC1,9.5,0.032556608526335816,98,4.0,20
BR1,PC1,9.600000000000001,0.032549762068177925,98,4.0,20
BR1,PC1,9.700000000000001,0.03255746656626177,98,4.0,20
BR1,PC1,9.8,0.032578631587053014,98,4.0,20
BR1,PC1,9.9,0.032612189576620876,98,4.0,20
BR1,PC1,10.0,0.03265710889137574,98,4.0,20
BR1,PC1,10.100000000000001,0.03271240498933718,98,4.0,20
BR1,PC1,10.200000000000001,0.03277714959031685,98,4.0,20
BR1,PC1,10.3,0.0328504776731098,98,4.0,20
BR1,PC1,10.4,0.032931592238658346,98,4.0,20
BR1,PC1,10.5,0.0330197668285715,98,4.0,20
BR1,PC1,10.600000000000001,0.03311434584691414,98,4.0,20
BR1,PC1,10.700000000000001,0.03321474278856751,98,4.0,20
BR1,PC1,10.8,0.03332043652864001,98,4.0,20
BR1,PC1,10.9,0.03343096587348448,98,4.0,20
BR1,PC1,11.0,0.03354592261412291,98,4.0,20
